tweet,check-worthy
"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat Coronavirus.",1
"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",0
"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",0
Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  safetysaves  be it virus or road crashes!,0
"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat Coronavirus.",1
"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",0
"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",0
"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",0
Prime Minister of Israel Benjamin Netanyahu  encourages Israelis to adopt the Indian way of greeting Namaste at a press conference to mitigate the spread of #coronavirus,0
Dear  @realDonaldTrump : You knew about Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the CoronaOutbreak and start leading. Lives are at stake. <link>,1
Safety always comes first. Do not panic and stay safe. <link>,0
"Countries with largest numbers of coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA",0
"I'm stunned by the depth of coronavirus information being released in Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>",0
"Thank you, keep up the great work!",0
"The new coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap",0
Nigeria being able to handle Ebola and Corona virus effectively just lets you know that the incompetence in everything else is on purpose,0
"BREAKING: I am announcing a new directive requiring NY health insurers to waive cost sharing associated with testing for coronavirus, including emergency room, urgent care and office visits.  We can't let cost be a barrier to access to COVID-19 testing for any New Yorker.",0
"Netanyahu announcing Israel's new extreme measures against corona. Orders Israelis to stop shaking hands, suggests following Indian custom of namaste instead. 🙏🏽 <link>",0
"Just spoke with ER doc who say he's seeing cases he's 99% sure are coronavirus. Negative for flu, recent travel, work in airports. Not allowed to test. Patients return to work because they can't take time off w/out a firm diagnosis. Other ER docs seeing the same thing.",1
"Slowly, all Hindu traditions will be accepted by the world. Yoga is already in. Need for family system & vegetarianism is dire, Universal Acceptance to fight terrorism, polytheism to fight hate & bigotry of the communists.  The time for unscientific Abrahamic principles is over.<link>",0
Congress should NOT tie emergency coronavirus funding with FISA reauthorization.   We MUST reform our FISA system to restore the American people’s confidence in our justice system and ensure what happened to  @realDonaldTrump  and his campaign in 2016 NEVER happens again.<link>,0
"EXO members Chanyeol, Lay, Suho and Kai have donated a combined 170 million won to Korea Disaster Relief Association Hope Bridge to help fight the coronavirus outbreak.",1
Dear  @VP  Pence: What are you hiding from the American people? Why won’t you let the people see and hear what experts are saying about the CoronaOutbreak?,0
"Dear  @PMOIndia ,  Quit wasting India's time playing the clown with your social media accounts, when India is facing an emergency. Focus the attention of every Indian on taking on the Corona virus challenge.   Here's how it's done..  #coronavirusindia",0
Hold on - China Communist Party now denying CoronavirusOutbreak originated in China? This after Beijing’s catastrophic mishandling of the virus has caused a global health crisis? What a collection of incompetent thugs & liars <link>,1
"The World Health Organization confirmed that Covid-19 is deadlier than the seasonal flu, but does not transmit as easily. Read the latest updates on the coronavirus outbreak here.",1
DO NOT PANIC !  Here’s all what you need to know &amp; do as a responsible citizen.DO NOT PANIC !  Here’s all what you need to know & do as a responsible citizen.  #coronavirusindia #Microbe  #covid2019  #CoronaAlert <link>,0
"Trump to Hannity on WHO saying coronavirus death rate is 3.4%: ""I think the 3.4% number is really a false number. Now this is just my hunch, but based on a lot of conversations ... personally, I'd say the number is way under 1%.""  Astoundingly irresponsible. <link>",0
Dear  @realDonaldTrump : Why are we still not testing at the scale we need to contain the CoronavirusOutbreak?   Have you apologized yet for saying criticism of your Administration’s botched testing was a new hoax? <link>,0
Thank you for the inspiration India- from today all Israelis say Shalom🇮🇱#Namaste🇮🇳,0
"If true, the  @StateDept  officials who denied coronavirus testing to exposed US embassy staff need to resign.   Also, a reminder that last week in  @HouseForeign  Committee,  @SecPompeo  refused 6 times to deny that coronavirus is a hoax. <link>",0
"A call to every Democrat running for president, or anywhere for that matter. Will you join President Trump in donating your quarterly salary toward fighting CoronaVirus? Citizens would be very grateful. Thank you in advance.",0
"A State of Emergency has been declared for LA City and County due to confirmed cases of Coronavirus.  Angelenos need to be prepared, but not panicked. Listen to the advice of experts.  Make sure you're following  @CDCgov  and  @lapublichealth  for the latest info and recommendations. <link>",0
"It is a fair question to ask whether the lack of testing is due to gross incompetence by the  @realDonaldTrump  Administration, or Trump’s stated desire to minimize the CoronaOutbreak. Either way we now have severe consequences. And we cannot get those critical weeks back.",0
Nothing to see here folks.   Only the  @GOP  stopping a corona virus bill because it doesn’t allow all of their big pharma pals to charge whatever they want for a lifesaving vaccine that hasn’t even been developed yet.   #OneVoice1 <link>,1
"To date, the president has spent $133.7 million of taxpayer money to play golf.  That is 334 years worth of presidential salary.",1
"The worst thing about this Corona virus outbreak isn't that it sickens and kills. It's that the outbreak brings out the ugliest of human behavior: the ignorance, stupidity, racism, and phobias, the blame game, the tight-lipped arrogance, the complacence, existing all at once.",0
Dear  @realDonaldTrump : Please stop misleading the American people about coronavirus. Your own  @NIH  expert Dr. Fauci said the death rate is about 2%. Washington State deaths suggest for certain populations the death rate is even higher.  STOP MAKING STUFF UP. LIVES ARE AT STAKE. <link>,1
"BREAKING: Boris Johnson says he visited Kettering hospital & shook hands with corona patients, but the hospital doesn't have corona cases & shaking hands would be dangerous.  Not sure how I'll gloss over the fact the PM is a liar & a complete fucking idiot, but I'll find a way x.",1
"The Health Minister saying that the Indian Govt has the coronavirus crisis under control, is like the Capt of the Titanic telling passengers not to panic as his ship was unsinkable.   It's time the Govt made public an action plan backed by solid resources to tackle this crisis.",0
"China will quarantine any passengers coming to China from countries that have reported cases of corona virus, for two weeks. But their Ambasador to KENYA tells us not to discriminate agaings their nationals. What’s wrong with us? Tulirogwa?",1
Have spoken w readers who have elderly relatives who are resisting social distancing precautions because they've heard on Fox News that COVID-19 is overhyped; hospital doctor in red state who says she assumes it must not be that serious since prep is so much less than for H1N1.,0
BREAKING: A person who died last week in a Seattle hospital has since tested positive for coronavirus. The person lived in the same nursing home that has had numerous COVID19 cases and deaths.  How many people were exposed due to lack of testing <link>,1
"My office just received a call from a constituent who yelled, “I’m not falling for the Democrat coronavirus hoax.” President  @realDonaldTrump , it’s imperative people take this seriously. Your words are giving them the impression that it’s not serious. You must do better.",0
Virus which has affected the World  - EBOLA - CORONA - SARS - HIV  Virus which has affected India  - SUDHIR - ARNAB - SARDANA - AMISH,0
Corona virus minding its business by avoiding Africa and going to other continents,0
"Tonight, Acting Governor  @LtGovOliver  and I are announcing the first presumptive positive case of novel coronavirus, or COVID19, in New Jersey. The individual, a male in his 30s, is hospitalized in Bergen County and has been hospitalized since March 3rd. <link>",0
"So basically the Indonesian gov did nothing. COVID19 patients found out info themselves, checked themselves in, requested test themselves, and on top of al that, found out tests were positive from the media. Woww. indonesia Flag of Monaco👍🏻 <link>",1
"Non medical friends, let’s have a chat about masks. So, you’ve bought yourself a box of N95 masks and you think you’re good for COVID19. Let me tell you what my hospital makes me do EVERY YEAR to make sure my N95 mask fits (yes, they come in sizes). Watch out: long thread ahead!",0
"Hearing rumors that the swamp is trying to tie long-term FISA reauthorization to emergency funding to fight the coronavirus. This should not happen. FISA process was abused to spy on  @realDonaldTrump . We need real reform, not political games.",1
"Boris Johnson visited Kettering General Hospital and there are NO Coronavirus cases there, but he said he shook hands with patients who had Coronavirus Stop it now, you were absent when floods devastated communities, now coronavirus stories, go back to hiding in fridges! <link>",1
CoronaAlert Google just broke a heart ♥ 😭 https://t.co/EyhUjIthLe,0
"Today's coronavirus recap:  -93,164 confirmed cases globally & 3,199 deaths  -90% of new cases from Flag of Iran Flag of Italy Flag of South Korea  -COVID19 deadlier than flu, but doesn't spread as easily ( @WHO )  -Containment still a top Earth globe europe-africa priority  -PPE supply is rapidly depleting;  increase in production needed",0
"Trump literally does not know how vaccines work.  ""You take a solid flu vaccine, you don't think that could have an impact or much of an impact on Corona?""  Medical professionals: ""No.""  #trumpviruscoverup #coronavirusseattle #supertuesday <link>",1
". @realDonaldTrump  acted swiftly to limit travel to & from the affected regions, to quarantine Americans that had been to those regions, and to deny entry to foreign nationals from those regions. Those actions have proven critical for slowing spread of the coronavirus to the U.S. <link>",1
Can someone explain this so called co-incidence? #CoronaAlert https://t.co/cMC4mjfOsA,0
"People aren't surprised when I tell them there are 13,000 Covid-19 cases outside China, or when I tell them this number doubles every 3 days. But when I tell them that if growth continues at this rate, we'll have 1.7 million cases in 3 weeks, they're astonished.",1
"Chinese scientists claim that the COVID19 virus has probably genetically mutated to two variants: S-cov & L-cov. They believe the L-cov is more dangerous, featuring higher transmitibility and inflicting more harm on human respiratory system.",1
